Gene,p-value,Fold Change,log2(Fold Change)
APOL6,1.7780442204878558e-18,3.271977468584274,1.7101628136605749
ATG10,1.7848707505142688e-18,2.8937457333827257,1.532938161225705
UFD1L,1.787290877865823e-18,3.3015313086555365,1.7231353271948817
IL13,1.7925387880768786e-18,2.7574082391340484,1.4633128766964594
NCKAP5L,1.7926680995460656e-18,2.8383990089049007,1.5050774110001226
LOC100506870 /// LOC283140,1.794009901020988e-18,2.8038280770438693,1.4873978900045994
ZNF641,1.795675928213167e-18,3.1844685092946676,1.6710526054519492
ANKRD36,1.7961555463392468e-18,3.659462599677254,1.8716318010488158
AKT2,1.7973797271585063e-18,2.9362387675783777,1.5539692892966575
NOL9,1.7996574065092835e-18,3.1968146759348413,1.676635111381675
PSMD13,1.8033593311179396e-18,3.2847097012979156,1.715765872524956
RP1-93H18.6,1.8078783982184773e-18,3.585813924141243,1.8423006254946899
APOC2 /// APOC4 /// APOC4-APOC2,1.8129361227668604e-18,3.510987276694437,1.8118767681118326
NRBP1,1.813300210159656e-18,3.1618083471348393,1.6607499214540682
LOC100506071,1.8184565607319606e-18,2.5107286336856767,1.3281061066690303
RGS19,1.825158393790295e-18,3.217002199905866,1.685716922559566
PDK2,1.825960274400051e-18,2.899973120931188,1.5360395283509025
LOC401098,1.833482470072336e-18,2.5658789107425424,1.359453088201062
LDHD,1.839291850283526e-18,2.9329633415073117,1.5523590392653022
LOC100506473 /// RP11-332H14.2,1.8443704433987217e-18,3.1222020208673853,1.6425638893574952
MFI2,1.8478122385203964e-18,8.263602280120864,3.0467708202357606
CTD-2554C21.3,1.8491810884580892e-18,3.953083468518723,1.9829784176788283
LOC101928111,1.8565527364891062e-18,2.878520474490191,1.52532747396729
CBR3,1.857128021196156e-18,5.047159003253131,2.3354715373182087
ATG101,1.8595800907557438e-18,3.2730546446852538,1.7106376888349617
ZSWIM7,1.8599230280309912e-18,3.1929893787623893,1.6749077539000783
DCP1B,1.865545451996931e-18,3.2043056716177967,1.6800117787992188
ZFP82,1.868315688523914e-18,3.1062693852613026,1.635182950114145
FLJ35934,1.8685430924079263e-18,3.1331674337296196,1.6476218681312518
KB-1410C5.2,1.868868734766726e-18,2.571715031792316,1.3627307884679056
SGSM2,1.8706488638826053e-18,3.2977188935164796,1.7214684247867884
FSCN1,1.872440468537043e-18,3.217090854595823,1.6857566800453458
QRSL1,1.877231014144308e-18,3.054776666061021,1.6110669088348326
ZNF133,1.8776017259289104e-18,3.1787759705497605,1.668471343759359
ACADVL,1.8848502283537514e-18,3.2826184912266716,1.7148470883823745
C15orf54,1.8855249992690613e-18,3.7744197929563152,1.9162548891640088
LOC101928245,1.8930456857733454e-18,4.925970107517667,2.3004078730932944
DNLZ,1.8980186115125418e-18,2.966481770516569,1.5687529172438337
APOLD1 /// DDX47,1.922832859735213e-18,3.286732301704579,1.7166539563480203
MLH1,1.9283205176076292e-18,3.248157626949769,1.699621645485165
SRCAP,1.931381383928395e-18,2.5860226325615985,1.370734901498321
RALGAPB,1.9355160496030454e-18,3.2005089743727,1.678301353991757
KRT25,1.936929654683998e-18,2.7095413465141176,1.4380486622395547
TRIM52,1.9428697892939544e-18,3.1826249276374567,1.6702171453742838
